content,publishdate,title
"liệu có loại camera nào nhận dạng được hung thủ phạm tội luôn không nhỉ....
 nguồn: thánh tiên/ otofun",2018-05-16 10:34:00,"Camera không thể phát hiện được,  bởi vì tất cả Boss khuôn mặt đều giống nhau :("
"việc lái xe đâm chết giám đốc khôong phải do không thanh toán lương như các báo đang đưa tin. Thủ phạm lái xe thuê cho bác tôi cách đây vài tháng có gây tai nạn do không có tiền thanh toán cty đứng ra chi trả đền bù cho gia đình bị tai nạn và lái xe đồng ý hàng tháng trừ 1 phần vào lương của a ta. Cách đây vài ngày anh ta dở chứng muốn nghỉ và bùng khoảng tiền còn thiếu của cty. sáng hôm sau nên gặp bác tôi thì hắn đã ra tay
nguồn: Dương Dương/ Hóng Hớt Bang",2018-05-16 09:29:00,Sếp bị nhân viên đâm chết vì bùng lương
"Tưởng nhảy xe của chị là dễ à, may mà chạy nhanh không thì cũng vỡ mồm tại hiện trường, đăng video cảnh báo mọi người xe pháo cẩn thận, giờ trộm cắp như ranh ý

nguồn: KSĐP",2018-05-16 08:54:00,Thanh niên đẹp trai đi nhảy xe máy gặp đúng chị gái có võ
"Là cô gái hay mộng mơ ^^ chân ngắn khổ vậy đấy anh em ,đôi lúc ngại lắm cơ chứ sung sướng gì, mà những đứa chân ngắn lại hay yêu những đứa cao mới lạ @@

nguồn: Nam Te/KSĐP",2018-05-16 07:03:00,"Cô gái 1m52, chân ngắn đang yêu nhỉ"
"Khoảng 5h30 chiều nay tại Trần Duy Hưng HN, 1 thanh niên tuổi ngoài 30 có biểu hiện nghếu ngáo lao ra đường đập cửa kính 1 ô tô đang dừng trên đường.

Chủ ô tô mở cửa xe, đuổi theo túm được thanh niên nghếu kia thì bị ăn nguyên 1 viên gạch vào đầu, máu phun ồ ạt trông rất kinh khủng.

Thanh niên nghếu ngay lúc đó bị người dân và 1 bạn member Beat khống chế, gọi cảnh sát và 115 đến đưa chủ xe ô tô đi cấp cứu và giải quyết vụ việc.

Đáng chú ý, trong toàn bộ quá trình đập xe, đánh người. Thanh niên ngáo vẫn hé trên môi 1 nụ cười tươi rói. Kể cả khi đã bị người dân khống chế, thanh niên vẫn hiên ngang nở 1 nụ cười xua tan bối rối.


Thông tin được chia sẻ từ member BEATVN : Hoàng Lai",2018-05-15 19:05:00,"Thanh niên có biểu hiện nghếu ngáo đập ô tô, đánh người đi đường toé máu tại Trần Duy Hưng"
"Do thiếu tiền chơi bời, bạn bè lôi kéo, 2 thiếu niên chưa đủ 14 tuổi đi cướp, thôi thì tuổi trẻ ai cũng có cái sai lầm, chỉ mong là sau cái sai lầm thì các em không quay trở lại cái vết xe đổ nữaa , hiện đã được đưa về cho gia đình và địa phương quản lý

nguồn: Plo.vn",2018-05-15 10:27:00,"2 thiếu niên theo băng cướp giật tài sản, chưa đủ 14 tuổi"
"Chung tay giúp sức cho hiệp sĩ :))) hành động đẹp lắm Trinh ơi :)))

#beatzoom #ngoctrinh #hiepsi #ungho",2018-05-15 09:50:00,Ngọc Trinh ủng hộ đội trưởng nhóm hiệp sĩ gặp nạn 25 triệu đồng đây cả nhà :)))
"chẳng biết clip này là như nào, em được hóng được fb, không biết có phải ở ta không. nhưng em thấy ông láy máy xúc lm việc nguy hiểm quá ah, còn ông đỗ ô tô thì ngu vl.
p/s: đỏ thôi đen thì xác định mịa lun con con 4 bánh kia k bẹp với lạ.
nguồn: Hoang Anh/ HBĐP",2018-05-15 09:33:00,Coi mà thấy nguy hiểm quá ah.
"Anh chẳng cần báo chí đưa tin
Anh tới tận nơi viếng 2 hiệp sĩ tử nạn
Anh thuê xe đưa người thân của các hiệp sĩ đưa linh cữu về quê
Anh hỗ trợ ngay gia đình, người thân của họ, chia sẻ cùng họ vượt qua giai đọan khó khăn
Anh đi độc chiếc quần rách và đôi dép tổ ong
Anh là Nghệ sĩ Quyền Linh

nguồn: otofun",2018-05-15 08:15:00,Quyền Linh người nghệ sỹ thầm lặng thi thắp hương cho 3 hiệp sỹ
Ngu & Cái kết 🐶🐶🐶,2018-05-15 07:23:00,Những pha nghịch ngu mới nhất
