url,price,title
https://www.olx.com.pk/item/zong-4g-jazz-4g-wifi-usb-wingle-cloud-cctv-camera-ip-cameras-IDWfSfj.html,Rs 995,Zong 4G // jazz 4G Wifi usb wingle & cloud & CCTV camera & ip cameras
https://www.olx.com.pk/item/monitor-24-inch-full-hd-led-IDV28ZC.html,"Rs 8,500",Monitor 24 inch full hd led
https://www.olx.com.pk/item/unbelievable-offer-samsung-ultra-sleek-and-slim-chrombook-IDV35za.html,"Rs 6,500",Unbelievable offer Samsung ultra sleek and slim chrombook
https://www.olx.com.pk/item/asus-laptop-x551m-with-genuine-windows-IDV1GED.html,"Rs 18,500",Asus Laptop X551M With Genuine Windows
https://www.olx.com.pk/item/asus-rog-g751j-core-i7hq-12gb-ram-1tb-sshd-nvidia-860-gtx-IDV3kO1.html,"Rs 82,000",ASUS ROG G751J Core i7HQ | 12GB Ram | 1TB SSHD | Nvidia 860 GTX
https://www.olx.com.pk/item/dell-corei5-4th-generation-latitude-series-with-ssd-256gb-ram-4gb-IDV100f.html,"Rs 28,000",DELL COREi5 4th Generation Latitude Series With SSD 256GB Ram 4GB
https://www.olx.com.pk/item/zong-4g-mobilink-wifi-big-discount-with-home-delivery-cctv-camer-IDWjke1.html,Rs 685,Zong 4G & mobilink wifi big discount with home delivery & cctv camer
https://www.olx.com.pk/item/laptop-coby-ultra-10-netbook-pc-with-check-warrantyu-s-a-imported-IDWZlwK.html,"Rs 7,900","Laptop COBY, Ultra 10"" NETBOOK PC with Check Warranty(U.S.A imported)"
https://www.olx.com.pk/item/pvc-id-card-tray-for-epson-t60-IDV3Alp.html,"Rs 1,400",PVC ID Card Tray for Epson T60
https://www.olx.com.pk/item/tv-led-box-pack-IDWR0D4.html,"Rs 20,000",TV LED Box Pack
https://www.olx.com.pk/item/43inches-sony-malaysian-led-tv-box-pack-with-free-delivery-IDWW4IE.html,"Rs 27,500",43inches Sony Malaysian LED TV box pack with free delivery
https://www.olx.com.pk/item/used-branded-excellent-projectors-for-school-college-university-acadmy-IDV1XdM.html,"Rs 9,999",Used Branded Excellent Projectors For school college university Acadmy
https://www.olx.com.pk/item/multimedia-projectors-and-screen-IDWXksH.html,"Rs 2,500",Multimedia projectors and screen
https://www.olx.com.pk/item/repair-xbox360-ps3-ps4-xbox-one-repairing-and-software-installation-IDWZOa2.html,"Rs 1,500",Repair xbox360/PS3/PS4/Xbox One/ Repairing and software installation
https://www.olx.com.pk/item/playstation-4-slim-pro-box-pack-ps4-x-box-dvds-etc-IDWRV0S.html,"Rs 35,000","PlayStation 4 (Slim , Pro) Box Pack (PS4) , X Box , DVD's etc"
